ID,X,Y,Population,Elevation,Slope,Land_cover,River_flow,Road_dist,Protected_area
1,227911.3832,8097539.303,,135,3.511339781,2,,652.4531837,False
2,228911.6857,8097539.303,6.149041553,126.8783233,2.056739836,2,,1493.232239,False
3,227911.3832,8098539.605,15.54762991,148.6935353,3.01991341,2,,355.6404242,False
4,228911.6857,8098539.605,,146.7417036,2.595846247,2,,1151.166547,False
5,227911.3832,8099539.908,26.89732271,132.6198058,2.26719302,2,,209.8389898,False
6,228911.6857,8099539.908,13.22797819,169.9196179,2.66977269,2,,223.9408569,False
7,229911.9882,8099539.908,9.587914371,161.4288642,1.599135415,2,,157.7039214,False
8,233913.1983,8099539.908,,158.222965,1.288836265,2,,600.4148737,False
9,234913.5009,8099539.908,,162.0551961,1.707148429,2,,824.895427,False
10,235913.8034,8099539.908,,177.659661,2.804075199,2,,1248.165338,False
11,236914.1059,8099539.908,,180.5239461,1.462713272,2,,977.0889465,False
12,237914.4085,8099539.908,,147.3474553,0.86681977,2,0.063303992,92.32249214,False
13,238914.711,8099539.908,9.533851712,148.6343041,2.496959239,2,,157.2360614,False
14,226911.0806,8100540.211,33.10194281,129.3227277,3.578880405,2,,204.5585113,False
15,227911.3832,8100540.211,16.43916858,128.7047987,2.179549775,2,,515.5445579,False
16,228911.6857,8100540.211,8.915581504,141.5074741,2.688447621,2,,388.6402877,False
17,229911.9882,8100540.211,7.857219939,160.6707481,4.190270187,2,,388.6370576,False
18,230912.2908,8100540.211,5.6197653,191.2095402,1.283267303,2,,809.5616194,False
19,231912.5933,8100540.211,,198.1977593,0.893625738,2,,595.9075852,False
20,232912.8958,8100540.211,,169.3415606,2.981159754,2,,487.3261832,False
21,233913.1983,8100540.211,31.35085748,177.2880804,3.305640137,2,,339.5247542,False
22,234913.5009,8100540.211,,191.1403418,0.910980018,2,,97.14726973,False
23,235913.8034,8100540.211,,176.8907589,2.786817994,2,,379.0641929,False
24,236914.1059,8100540.211,,163.8427395,2.051099672,2,,424.622948,False
25,237914.4085,8100540.211,,167.4684544,1.440608146,2,,318.5142441,False
26,238914.711,8100540.211,,139.7720678,2.461433987,2,,727.5941605,False
27,239915.0135,8100540.211,,121.5219776,0.852632593,,,807.4475592,False
28,226911.0806,8101540.513,55.31888398,144.2229625,0.878687649,2,,44.57554284,False
29,227911.3832,8101540.513,16.25217035,130.4865638,0.90504756,2,,541.0207669,False
30,228911.6857,8101540.513,5.23447987,162.438769,0.72861559,2,,1379.289833,False
31,229911.9882,8101540.513,5.11161436,166.3881773,1.712474495,2,,1380.025209,False
32,230912.2908,8101540.513,4.612165941,173.7709058,2.749302331,2,,1702.479556,False
33,231912.5933,8101540.513,,193.5493391,0.84714765,1,,1596.119433,False
34,232912.8958,8101540.513,,184.0957962,1.054947497,2,,1426.240789,False
35,233913.1983,8101540.513,,187.4786288,2.013513736,2,,1071.103018,False
36,234913.5009,8101540.513,,174.2263497,3.969722477,2,,588.6440749,False
37,235913.8034,8101540.513,,173.892615,2.215398319,2,,199.8535016,False
